"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.1248331588939291
2 0.0988261544932119
3 0.09960962496055119
4 0.1007255739960121
5 0.1016367849537879
6 0.1024391359962541
7 0.1031465544182362
8 0.1037487648642615
9 0.1042247619156374
10 0.1045651691042229
11 0.1047752397948455
12 0.1048618367111776
13 0.1048415827836326
14 0.1047229301812484
15 0.1045548541671017
16 0.1043800429375228
17 0.1041971272595928
18 0.1040347789544098
19 0.1039022584910009
20 0.1038100828066849
21 0.1037601847479223
22 0.1037536768491549
23 0.1037837969941258
24 0.1038415578395861
25 0.1039158124755742
26 0.1039956394922029
27 0.1040653065733367
28 0.1041274796343356
29 0.1041754086119699
30 0.1042079618228862
31 0.1042222370011334
32 0.10422068708186
33 0.104206098083516
34 0.1041824712586478
35 0.1041538982656098
36 0.1041269004547284
37 0.1041008114266884
38 0.1040788097636533
39 0.1040624074408886
40 0.1040523230650575
41 0.1040491658318549
42 0.104051951020795
43 0.1040594760433459
44 0.1040701166836529
45 0.1040821430577178
46 0.1040930736484688
47 0.1041032070223394
48 0.1041113707593832
49 0.1041171192450701
50 0.1041202441549946
51 0.1041207883725312
52 0.1041192008233462
53 0.1041159843845069
54 0.1041117836314539
55 0.1041072151458405
56 0.1041031747211552
57 0.1040995275597164
